Labs waren opmerkelijk voor Cr 1,7 (basislijn 0,5 volgens oude gegevens) en lactaat 2,4. 	 De patiënt heeft een verhoogde Cr 	 entailment 
Cardiale voorgeschiedenis: CABG ([**2914**]) met anatomie: LIMA --> LAD, SVG --> OM2, SVG --> OM3, SVG naar mid-RCA sprong naar PDA . 	 patient heeft een geschiedenis van cabg 	 entailment 
Cardiale voorgeschiedenis: CABG ([**2914**]) met anatomie: LIMA --> LAD, SVG --> OM2, SVG --> OM3, SVG naar mid-RCA sprong naar PDA . 	 de patiënt heeft een normaal hart 	 contradiction 
Cardiale voorgeschiedenis: CABG ([**2914**]) met anatomie: LIMA --> LAD, SVG --> OM2, SVG --> OM3, SVG naar mid-RCA sprong naar PDA . 	 patiënt heeft lage cardiac output 	 neutral 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënt is een 59-jarige man, met een voorgeschiedenis van hepatitis C-virus leidend tot leverziekte in het eindstadium, postnecrotische cirrose met biopsie in [**2824-5-9**] die HCC toonde zonder aanwijzingen voor metastatische ziekte. 	 De patiënt heeft een voorgeschiedenis van kanker 	 entailment 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënt is een 59-jarige man, met een voorgeschiedenis van hepatitis C-virus leidend tot leverziekte in het eindstadium, postnecrotische cirrose met biopsie in [**2824-5-9**] die HCC toonde zonder aanwijzingen voor metastatische ziekte. 	 Geen leverziekte in de voorgeschiedenis 	 contradiction 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënt is een 59-jarige man, met een voorgeschiedenis van hepatitis C-virus leidend tot leverziekte in het eindstadium, postnecrotische cirrose met biopsie in [**2824-5-9**] die HCC toonde zonder aanwijzingen voor metastatische ziekte. 	 De patiënt presenteert zich met geelzucht 	 neutral 
Ze heeft uitgezaaide ziekte in haar longen, lever, en botten. 	 Ze heeft uitgezaaide ziekte 	 entailment 
Ze heeft uitgezaaide ziekte in haar longen, lever, en botten. 	 Ze heeft geen uitgezaaide ziekte 	 contradiction 
Ze heeft uitgezaaide ziekte in haar longen, lever, en botten. 	 De patiënt heeft borstkanker 	 neutral 
Dit kind kwam tevoorschijn met spontane huil en goede toon. 	 De baby heeft een apgar van ten minste 4. 	 entailment 
Dit kind kwam tevoorschijn met spontane huil en goede toon. 	 Het kind was slap en had een slechte toon. 	 contradiction 
Dit kind kwam tevoorschijn met spontane huil en goede toon. 	 Het kind is gezond geboren. 	 neutral 
Eierstokkanker, gediagnosticeerd [**3121-9-3**], status na totale abdominale hysterectomie, bilaterale salpingo-oophorectomie, omentectomie, en ileocectomie in [**3121-9-3**]. 	 Patiënt heeft neoplasma 	 entailment 
Eierstokkanker, gediagnosticeerd [**3121-9-3**], status na totale abdominale hysterectomie, bilaterale salpingo-oophorectomie, omentectomie, en ileocectomie in [**3121-9-3**]. 	 De patiënt heeft een intacte dunne en dikke darm 	 contradiction 
Eierstokkanker, gediagnosticeerd [**3121-9-3**], status na totale abdominale hysterectomie, bilaterale salpingo-oophorectomie, omentectomie, en ileocectomie in [**3121-9-3**]. 	 Patiënt heeft stadium IV kanker 	 neutral 
Een [**leeftijd ouder dan 90 **] oude man met bekende CAD, s/p BMS naar LAD in [**3473**] en s/p BMS naar RCA in [**3-/3478**] presenteert zich voor hartkatheterisatie. 	 Geschiedenis van hartaandoeningen 	 entailment 
Een [**leeftijd ouder dan 90 **] oude man met bekende CAD, s/p BMS naar LAD in [**3473**] en s/p BMS naar RCA in [**3-/3478**] presenteert zich voor hartkatheterisatie. 	 Geen voorgeschiedenis van eerdere hart stenting 	 contradiction 
Een [**leeftijd ouder dan 90 **] oude man met bekende CAD, s/p BMS naar LAD in [**3473**] en s/p BMS naar RCA in [**3-/3478**] presenteert zich voor hartkatheterisatie. 	 Voorgeschiedenis van hyperlipidemie en hypertensie 	 neutral 
Geen kortademigheid. 	 De patiënt heeft niet het gevoel dat hij niet kan ademen. 	 entailment 
Geen kortademigheid. 	 De patiënt is SOB. 	 contradiction 
Geen kortademigheid. 	 De patiënt heeft geen hartinsufficiëntie. 	 neutral 
Geen kortademigheid. 	 De patiënt is in staat om comfortabel te ademen. 	 entailment 
Geen kortademigheid. 	 De patiënt 	 contradiction 
Geen kortademigheid. 	 De patiënt heeft geen CHF exacerbatie. 	 neutral 
De overeenkomstige hyperintense FLAIR-signaalafwijking op deze plaatsen wijst erop dat het infarct niet hyperacuut is. 	 de patiënt heeft herseninfarcten 	 entailment 
De overeenkomstige hyperintense FLAIR-signaalafwijking op deze plaatsen wijst erop dat het infarct niet hyperacuut is. 	 de patiënt heeft een hyperacuut infarct 	 contradiction 
De overeenkomstige hyperintense FLAIR-signaalafwijking op deze plaatsen wijst erop dat het infarct niet hyperacuut is. 	 de patiënt heeft acute neurologische stoornissen 	 neutral 
Een CXR was consistent met CHF, met BNP 1090 en de patiënt kreeg Lasix 80 mg IV X1. 	 De patiënt heeft congestief hartfalen 	 entailment 
Een CXR was consistent met CHF, met BNP 1090 en de patiënt kreeg Lasix 80 mg IV X1. 	 De patiënt heeft een normale hartfunctie 	 contradiction 
Een CXR was consistent met CHF, met BNP 1090 en de patiënt kreeg Lasix 80 mg IV X1. 	 De patiënt heeft kortademigheid 	 neutral 
De patiënt is een heer van 65 jaar met stadium T2N1 adenocarcinoom van de distale slokdarm die preoperatieve stadiëring onderging, inclusief laparoscopie met plaatsing van een jejunostomiebuis en neoadjuvante chemoradiotherapie. 	 de patiënt slokdarmkanker heeft 	 entailment 
De patiënt is een heer van 65 jaar met stadium T2N1 adenocarcinoom van de distale slokdarm die preoperatieve stadiëring onderging, inclusief laparoscopie met plaatsing van een jejunostomiebuis en neoadjuvante chemoradiotherapie. 	 de patiënt heeft plaveiselcelcarcinoom 	 contradiction 
De patiënt is een heer van 65 jaar met stadium T2N1 adenocarcinoom van de distale slokdarm die preoperatieve stadiëring onderging, inclusief laparoscopie met plaatsing van een jejunostomiebuis en neoadjuvante chemoradiotherapie. 	 de patiënt heeft een lange voorgeschiedenis van GERD 	 neutral 
Het NICU-team werd opgeroepen, en arriveerde rond de twee minuten na de geboorte. 	 Het kind had onmiddellijk medische verzorging nodig 	 entailment 
Het NICU-team werd opgeroepen, en arriveerde rond de twee minuten na de geboorte. 	 Het kind was stabiel en werd op de moeder gelegd toen het twee minuten leefde 	 contradiction 
Het NICU-team werd opgeroepen, en arriveerde rond de twee minuten na de geboorte. 	 Het kind werd te vroeg geboren 	 neutral 
[**Bekende patient voornaam **] [**Bekende patient achternaam 22931**] is een 84-jarige man die zich in deze instelling presenteerde voor electieve chirurgische behandeling van bloedende 8-mm en 2,5-cm cecale poliepen. 	 de patiënt heeft cecale poliepen 	 entailment 
[**Bekende patient voornaam **] [**Bekende patient achternaam 22931**] is een 84-jarige man die zich in deze instelling presenteerde voor electieve chirurgische behandeling van bloedende 8-mm en 2,5-cm cecale poliepen. 	 de patiënt heeft geen voorgeschiedenis van bloedingen 	 contradiction 
[**Bekende patient voornaam **] [**Bekende patient achternaam 22931**] is een 84-jarige man die zich in deze instelling presenteerde voor electieve chirurgische behandeling van bloedende 8-mm en 2,5-cm cecale poliepen. 	 de poliepen goedaardig zijn 	 neutral 
De patiënt had oude MRI's die consistent waren met diffuse witte stof ziekte en meerdere lacunaire infarcten. 	 de patiënt heeft eerder lacunaire infarcten gehad 	 entailment 
De patiënt had oude MRI's die consistent waren met diffuse witte stof ziekte en meerdere lacunaire infarcten. 	 de patiënt heeft een normale MRI van de hersenen 	 contradiction 
De patiënt had oude MRI's die consistent waren met diffuse witte stof ziekte en meerdere lacunaire infarcten. 	 de patiënt heeft acute neurologische stoornissen 	 neutral 
Hij was nooit hemodynamisch onstabiel, maar gezien zijn grote stolsellast werd hij opgenomen in de CCU voor bewaking. 	 De patiënt heeft een acute medische aandoening 	 entailment 
Hij was nooit hemodynamisch onstabiel, maar gezien zijn grote stolsellast werd hij opgenomen in de CCU voor bewaking. 	 De patiënt heeft normale beeldvormende bevindingen 	 contradiction 
Hij was nooit hemodynamisch onstabiel, maar gezien zijn grote stolsellast werd hij opgenomen in de CCU voor bewaking. 	 De patiënt heeft een PE 	 neutral 
De patiënt is van de dopamine af voor hij naar [**Ziekenhuis1 **] wordt overgebracht. 	 De patiënt werd van de dopamine afgehaald 	 entailment 
De patiënt is van de dopamine af voor hij naar [**Ziekenhuis1 **] wordt overgebracht. 	 De patiënt werd verder gezet op dopamine 	 contradiction 
De patiënt is van de dopamine af voor hij naar [**Ziekenhuis1 **] wordt overgebracht. 	 De patiënt heeft hartfalen 	 neutral 
Koorts tot 100,3 twee dagen voor de opname die oploste zonder interventie. 	 de patiënt heeft een voorgeschiedenis van lichte koorts 	 entailment 
Koorts tot 100,3 twee dagen voor de opname die oploste zonder interventie. 	 de patiënt heeft geen voorgeschiedenis van recente koorts 	 contradiction 
Koorts tot 100,3 twee dagen voor de opname die oploste zonder interventie. 	 de patiënt heeft longontsteking 	 neutral 
Dit werd echter onmiddellijk verminderd en na de vermindering bleef haar voet warm met palpabele distale pulses. 	 De patiënt heeft een breuk aan de onderste extremiteit. 	 entailment 
Dit werd echter onmiddellijk verminderd en na de vermindering bleef haar voet warm met palpabele distale pulses. 	 De patiënt heeft neuromusculaire compromissen gehad. 	 contradiction 
Dit werd echter onmiddellijk verminderd en na de vermindering bleef haar voet warm met palpabele distale pulses. 	 De patiënt heeft een tibia fractuur. 	 neutral 
-Status-post ascenderende aorta naar descenderende aorta bypass graft met 18mm gelweave [**2540-1-20**] -Reparatie van rechter ventrikel laceratie en sternale wond debridement [**2-1**] -Coarctatie van de distale Arch s/p Chirurgische reparatie van Arch/Desc. -Aorta met homograft via linker thoracotomie op 13-jarige leeftijd -Bicuspide Aortaklep -Congestief hartfalen: meest recente echo was TEE [**2-12**] gedaan na RV laceratie herstel, maar op dat moment was EF >55% -Hypercholesterolemie -Psoriatische artritis -Osteoartritis -Asthma -Sciatica -Hemorrhoïden -Meckel's Diverticulum s/p operatie -Rechter Lung Nodule -s/p L2-L3, L4-L5 sacrale fusie -s/p L Subacromiale decompressie via arthroscopie -s/p Appendectomie -s/p Open Cholecystectomie -s/p R Inwendige Hernia Reparatie -s/p Neusoperatie voor afwijkend septum -s/p Lensimplantaten -h/o HIT -recente MRSA longontsteking -h/o atriumfibrillatie tijdens ziekenhuisopname -h/o VRE bacteriëmie (linezolid via [**2540-3-23**]) -recente MRSE aorta graft infectie -s/p open jejunostomie tube plaatsing [**2540-2-15**] -s/p percutane tracheostomie [**2540-3-11**] 	 Geen chirurgische voorgeschiedenis 	 contradiction 
HISTORIE: Ring-vergrotende hersenmassa met oedeem gezien op CT-scan. 	 De patiënt heeft positieve CT bevindingen 	 entailment 
HISTORIE: Ring-vergrotende hersenmassa met oedeem gezien op CT-scan. 	 De patiënt heeft normale hersenparenchym 	 contradiction 
HISTORIE: Ring-vergrotende hersenmassa met oedeem gezien op CT-scan. 	 Patiënt heeft uitzaaiingen 	 neutral 
Ze kreeg een keizersnede vanwege de dwarse ligging van tweeling B. 	 Ze had een tweelingzwangerschap 	 entailment 
Ze kreeg een keizersnede vanwege de dwarse ligging van tweeling B. 	 Ze is vaginaal bevallen 	 contradiction 
Ze kreeg een keizersnede vanwege de dwarse ligging van tweeling B. 	 Ze is te vroeg bevallen 	 neutral 
Bij aankomst op de MICU waren zijn vitale functies T 95,9 HR 89 BP 156/53 RR 15 100% 4LNC. 	 Patiënt heeft hypothermie 	 entailment 
Bij aankomst op de MICU waren zijn vitale functies T 95,9 HR 89 BP 156/53 RR 15 100% 4LNC. 	 De patiënt heeft normale vitale functies. 	 contradiction 
Bij aankomst op de MICU waren zijn vitale functies T 95,9 HR 89 BP 156/53 RR 15 100% 4LNC. 	 Patiënt heeft sepsis 	 neutral 
Hij is gevolgd met serie echo's. 	 Hij heeft herhaalde echo's gehad 	 entailment 
Hij is gevolgd met serie echo's. 	 Hij heeft een echografie ontvangen 	 contradiction 
Hij is gevolgd met serie echo's. 	 Hij heeft bloedonderzoek gehad, wat negatief was 	 neutral 
Zijn UA had bacteriën, bloed, tr leuks en wat episodes. 	 De patiënt heeft een infectie aan de urinewegen. 	 entailment 
Zijn UA had bacteriën, bloed, tr leuks en wat episodes. 	 De patiënt heeft een schone UA. 	 contradiction 
Zijn UA had bacteriën, bloed, tr leuks en wat episodes. 	 De patiënt heeft urosepsis. 	 neutral 
Volgens het rapport van het verpleeghuis had de patiënt om 04:30 uur op de [** Locatie **]dag een aanval van pijn op de borst en kreeg Ativan, nitroglycerine en percocet toegediend. 	 Patiënt heeft angina 	 entailment 
Volgens het rapport van het verpleeghuis had de patiënt om 04:30 uur op de [** Locatie **]dag een aanval van pijn op de borst en kreeg Ativan, nitroglycerine en percocet toegediend. 	 Patiënt heeft negatieve ROS 	 contradiction 
Volgens het rapport van het verpleeghuis had de patiënt om 04:30 uur op de [** Locatie **]dag een aanval van pijn op de borst en kreeg Ativan, nitroglycerine en percocet toegediend. 	 Patiënt heeft STEMI 	 neutral 
Sindsdien gaat het goed met haar en onlangs in [**3306**] had zij toenemende kortademigheid, vermoeidheid, zwakte en onderging zij een inspanningstolerantietest, die positief was. 	 Ze werd geëvalueerd op hartfunctie 	 entailment 
Sindsdien gaat het goed met haar en onlangs in [**3306**] had zij toenemende kortademigheid, vermoeidheid, zwakte en onderging zij een inspanningstolerantietest, die positief was. 	 Ze heeft een normale hartfunctie 	 contradiction 
Sindsdien gaat het goed met haar en onlangs in [**3306**] had zij toenemende kortademigheid, vermoeidheid, zwakte en onderging zij een inspanningstolerantietest, die positief was. 	 Ze heeft een familie geschiedenis van hart-en vaatziekten 	 neutral 
Hij is cachectisch, zeer beperkt in activiteit [**1-15**] vermoeidheid, en heeft verschillende tegenslagen gehad in zijn herstel waaronder pna en CDiff colitis. 	 De patiënt is gereconditioneerd. 	 entailment 
Hij is cachectisch, zeer beperkt in activiteit [**1-15**] vermoeidheid, en heeft verschillende tegenslagen gehad in zijn herstel waaronder pna en CDiff colitis. 	 De patiënt is in normale gezondheid. 	 contradiction 
Hij is cachectisch, zeer beperkt in activiteit [**1-15**] vermoeidheid, en heeft verschillende tegenslagen gehad in zijn herstel waaronder pna en CDiff colitis. 	 De patiënt heeft een chronische medische aandoening. 	 neutral 
Hij zegt dat z'n oren suizen en "bubbels" ziet.  Hij rapporteert ook milde Abd pijn en hoofdpijn. 	 De patiënt heeft meerdere medische klachten. 	 entailment 
Hij zegt dat z'n oren suizen en "bubbels" ziet.  Hij rapporteert ook milde Abd pijn en hoofdpijn. 	 De patiënt heeft geen symptomatische klachten. 	 contradiction 
Hij zegt dat z'n oren suizen en "bubbels" ziet.  Hij rapporteert ook milde Abd pijn en hoofdpijn. 	 De patiënt heeft chronische medische problemen. 	 neutral 
De patiënt was niet in staat om een snelle toename van sondevoeding te verdragen door de toegenomen misselijkheid. 	 De patiënt krijgt enterale voeding 	 entailment 
De patiënt was niet in staat om een snelle toename van sondevoeding te verdragen door de toegenomen misselijkheid. 	 De patiënt verdraagt sondevoeding goed 	 contradiction 
De patiënt was niet in staat om een snelle toename van sondevoeding te verdragen door de toegenomen misselijkheid. 	 De patiënt is ondervoed 	 neutral 
PRENATALE LABORATORIUMGEGEVENS:  O positief, antilichaam negatief, hepatitis B oppervlakte antigeen negatief, RPR nonreactief, rubella immuun, GBS negatief. 	 Ze testte negatief voor syfilis 	 entailment 
PRENATALE LABORATORIUMGEGEVENS:  O positief, antilichaam negatief, hepatitis B oppervlakte antigeen negatief, RPR nonreactief, rubella immuun, GBS negatief. 	 Ze is gekoloniseerd met groep B strep bacteriën. 	 contradiction 
PRENATALE LABORATORIUMGEGEVENS:  O positief, antilichaam negatief, hepatitis B oppervlakte antigeen negatief, RPR nonreactief, rubella immuun, GBS negatief. 	 Ze heeft geen zwangerschapsdiabetes 	 neutral 
Er is geen kortademigheid in rust of paroxismale nachtelijke dyspneu of orthopneu of pijn op de borst gemeld. 	 de patiënt ontkent cardiale symptomen 	 entailment 
Er is geen kortademigheid in rust of paroxismale nachtelijke dyspneu of orthopneu of pijn op de borst gemeld. 	 de patiënt pijn op de borst heeft 	 contradiction 
Er is geen kortademigheid in rust of paroxismale nachtelijke dyspneu of orthopneu of pijn op de borst gemeld. 	 de patiënt heeft een voorgeschiedenis van hartfalen 	 neutral 
De SEH legde het sepsisprotocol aan de patiënte uit, maar zij en haar familie weigerden een centrale veneuze katheter. 	 De patiënt en haar familie weigerden een centrale lijn 	 entailment 
De SEH legde het sepsisprotocol aan de patiënte uit, maar zij en haar familie weigerden een centrale veneuze katheter. 	 De patiënt stemde toe in de plaatsing van een centrale lijn 	 contradiction 
De SEH legde het sepsisprotocol aan de patiënte uit, maar zij en haar familie weigerden een centrale veneuze katheter. 	 De patiënt had recent een longontsteking 	 neutral 
Ontkende hoest, kortademigheid. 	 De patiënt heeft geen symptomen van een COPD exacerbatie. 	 entailment 
Ontkende hoest, kortademigheid. 	 De patiënt heeft ernstig longoedeem. 	 contradiction 
Ontkende hoest, kortademigheid. 	 De patiënt heeft geen COPD exacerbatie. 	 neutral 
Op het moment van de presentatie aan een OSH, was zijn pijn constant, niet verlicht met Advil of acetominophen, en hij rapporteert het als een [**9-1**]. 	 de patiënt pijn heeft 	 entailment 
Op het moment van de presentatie aan een OSH, was zijn pijn constant, niet verlicht met Advil of acetominophen, en hij rapporteert het als een [**9-1**]. 	 de patiënt ontkent pijn 	 contradiction 
Op het moment van de presentatie aan een OSH, was zijn pijn constant, niet verlicht met Advil of acetominophen, en hij rapporteert het als een [**9-1**]. 	 de patiënt buikpijn heeft 	 neutral 
Coronaire hartziekte zoals genoteerd [** Locatie **]usly. 	 Geschiedenis van hartaandoeningen 	 entailment 
Coronaire hartziekte zoals genoteerd [** Locatie **]usly. 	 Geen voorgeschiedenis van hartziekte 	 contradiction 
Coronaire hartziekte zoals genoteerd [** Locatie **]usly. 	 Voorgeschiedenis van hypertensie en roken 	 neutral 
Ontkent lichtheid in het hoofd, duizeligheid, pijn op de borst. 	 De patiënt heeft geen symptomen van hypotensie. 	 entailment 
Ontkent lichtheid in het hoofd, duizeligheid, pijn op de borst. 	 De patiënt 	 contradiction 
Ontkent lichtheid in het hoofd, duizeligheid, pijn op de borst. 	 De patiënt heeft geen acuut myocard infarct. 	 neutral 
Voor de katheterisatie kreeg ik Plavix toegediend. 	 Behandeld voor cardiale symptomen 	 entailment 
Voor de katheterisatie kreeg ik Plavix toegediend. 	 Normale hartfunctie 	 contradiction 
Voor de katheterisatie kreeg ik Plavix toegediend. 	 Behandeld voor myocard infarct 	 neutral 
Het kind kreeg Apgars van 8 en 9. 	 De patiënt heeft geruststellende apgars. 	 entailment 
Het kind kreeg Apgars van 8 en 9. 	 De patiënt heeft een slechte Apgars. 	 contradiction 
Het kind kreeg Apgars van 8 en 9. 	 De patient is geboren uit een normale spontane vaginale bevalling. 	 neutral 
In de Postanesthesia Care Unit daalde de bloeddruk van de patiënt tot een systolische bloeddruk van 78, en kreeg hij koorts van 101,7 graden Fahrenheit. 	 In de PACU, was de patiënt hypotensief en koortsig 	 entailment 
Op de postanesthesieafdeling daalde de bloeddruk van de patiënt tot een systolische bloeddruk van 78, en kreeg hij koorts tot 101,7 graden Fahrenheit. 	 In de PACU, waren de vitale functies van de patiënt binnen de normale grenzen 	 contradiction 
Op de postanesthesieafdeling daalde de bloeddruk van de patiënt tot een systolische bloeddruk van 78, en kreeg hij koorts tot 101,7 graden Fahrenheit. 	 In de PACU, werd de patiënt tachycardisch 	 neutral 
Zij werd een week in het ziekenhuis opgenomen en bleef na deze ziekenhuisopname progressieve dyspneu houden. 	 de patiënt heeft progressieve dyspneu 	 entailment 
Zij werd een week in het ziekenhuis opgenomen en bleef na deze ziekenhuisopname progressieve dyspneu houden. 	 de patiënt ontkent kortademigheid 	 contradiction 
Zij werd een week in het ziekenhuis opgenomen en bleef na deze ziekenhuisopname progressieve dyspneu houden. 	 de patiënt heeft hartfalen 	 neutral 
Pt nu terug naar haar veronderstelde basis in termen van mentale status. 	 De patiënt is in een normale mentale toestand. 	 entailment 
Pt nu terug naar haar veronderstelde basis in termen van mentale status. 	 De patiënt heeft nog steeds een veranderde mentale status. 	 contradiction 
Pt nu terug naar haar veronderstelde basis in termen van mentale status. 	 De patiënt had een delerium. 	 neutral 
P-MIBI in [**5-/2965**] met lichte verergering van gedeeltelijk reversibele, matige perfusiedefecten in de basilar anterolaterale, midden anterolaterale, basilar posterolaterale, midden posterolaterale, en laterale wanden (gehele laterale deel van de linker ventrikel). 	 patiënt heeft acute cardiale ischemie 	 entailment 
P-MIBI in [**5-/2965**] met lichte verergering van gedeeltelijk reversibele, matige perfusiedefecten in de basilar anterolaterale, midden anterolaterale, basilar posterolaterale, midden posterolaterale, en laterale wanden (gehele laterale deel van de linker ventrikel). 	 patiënt heeft een normale nucleaire cardiale scan 	 contradiction 
P-MIBI in [**5-/2965**] met lichte verergering van gedeeltelijk reversibele, matige perfusiedefecten in de basilar anterolaterale, midden anterolaterale, basilar posterolaterale, midden posterolaterale, en laterale wanden (gehele laterale deel van de linker ventrikel). 	 patiënt heeft pijn op de borst 	 neutral 
De patient heeft een geschiedenis van trombocytopenie. 	 De patiënt heeft minder bloedplaatjes dan normaal. 	 entailment 
De patient heeft een geschiedenis van trombocytopenie. 	 De patiënt heeft meer dan normale bloedplaatjes. 	 contradiction 
De patient heeft een geschiedenis van trombocytopenie. 	 De patiënt heeft een auto-immuunziekte. 	 neutral 
GESCHIEDENIS: De patiënte was het 2,59 kg wegende product van een 34-4/7 week durende zwangerschap, bevallen door spontane vaginale bevalling bij een 29 jaar oude primigravida. 	 de patiënt heeft een normaal geboortegewicht 	 entailment 
GESCHIEDENIS: De patiënte was het 2,59 kg wegende product van een 34-4/7 week durende zwangerschap, bevallen door spontane vaginale bevalling bij een 29 jaar oude primigravida. 	 de patiënt heeft een laag geboortegewicht 	 contradiction 
GESCHIEDENIS: De patiënte was het 2,59 kg wegende product van een 34-4/7 week durende zwangerschap, bevallen door spontane vaginale bevalling bij een 29 jaar oude primigravida. 	 de patiënt heeft neonatale geelzucht 	 neutral 
Voorgeschiedenis van alcoholontwenning met delirium tremens. 	 De patiënt heeft een verleden van alcoholmisbruik. 	 entailment 
Voorgeschiedenis van alcoholontwenning met delirium tremens. 	 De patiënt ontkent alcoholgebruik. 	 contradiction 
Voorgeschiedenis van alcoholontwenning met delirium tremens. 	 De patiënt is een roker. 	 neutral 
ATB behandeling werd overgeschakeld op Vancomycine, Meropenem, Fluconazol. 	 Behandeling van infectie 	 entailment 
ATB behandeling werd overgeschakeld op Vancomycine, Meropenem, Fluconazol. 	 Geen tekenen van infectie 	 contradiction 
ATB behandeling werd overgeschakeld op Vancomycine, Meropenem, Fluconazol. 	 De patiënt ligt in kritieke toestand 	 neutral 
De rest van de ROS is negatief (behalve aanhoudende hoest met licht sputum sinds na de VATS, lichte RUQ gevoeligheid), ontkent diarree, braken, dysurie, hoofdpijn. 	 de patiënt hoest na de procedure 	 entailment 
De rest van de ROS is negatief (behalve aanhoudende hoest met licht sputum sinds na de VATS, lichte RUQ gevoeligheid), ontkent diarree, braken, dysurie, hoofdpijn. 	 de patiënt asymptomatisch is 	 contradiction 
De rest van de ROS is negatief (behalve aanhoudende hoest met licht sputum sinds na de VATS, lichte RUQ gevoeligheid), ontkent diarree, braken, dysurie, hoofdpijn. 	 de patiënt longkanker heeft 	 neutral 
Er werd een LLL infiltraat en een R-zijdige pleurale effusie gevonden. 	 Patiënt heeft luchtruim ziekte 	 entailment 
Er werd een LLL infiltraat en een R-zijdige pleurale effusie gevonden. 	 Patiënt heeft normale longen op CXR 	 contradiction 
Er werd een LLL infiltraat en een R-zijdige pleurale effusie gevonden. 	 Patiënt heeft longontsteking 	 neutral 
Deze scan, gemaakt de nacht voor zijn operatie, toonde niets acuuts aan. 	 De patiënt staat op het punt geopereerd te worden. 	 entailment 
Deze scan, gemaakt de nacht voor zijn operatie, toonde niets acuuts aan. 	 De patiënt heeft appendicitis. 	 contradiction 
Deze scan, gemaakt de nacht voor zijn operatie, toonde niets acuuts aan. 	 De patiënt heeft een CT-scan gehad. 	 neutral 
In onze ED, was de patiënt koortsig tot 101.2, met een initiële HR 100, BP 136/80. 	 De patiënt heeft tekenen van infectie 	 entailment 
In onze ED, was de patiënt koortsig tot 101.2, met een initiële HR 100, BP 136/80. 	 De patiënt heeft een normale temperatuur 	 contradiction 
In onze ED, was de patiënt koortsig tot 101.2, met een initiële HR 100, BP 136/80. 	 Patiënt heeft sepsis 	 neutral 
[**Bekende patiënt achternaam 37286**] is een 85-jarige vrouw met een voorgeschiedenis van chronische bloedverliesanemie bij wie endoscopisch een circumferentieel duodenaal adenoom is vastgesteld dat brokkelig is en bloedt. 	 Ze heeft last van bloedverlies 	 entailment 
[**Bekende patiënt achternaam 37286**] is een 85-jarige vrouw met een voorgeschiedenis van chronische bloedverliesanemie bij wie endoscopisch een circumferentieel duodenaal adenoom is vastgesteld dat brokkelig is en bloedt. 	 Ze heeft geen dunne darm tumoren. 	 contradiction 
[**Bekende patiënt achternaam 37286**] is een 85-jarige vrouw met een voorgeschiedenis van chronische bloedverliesanemie bij wie endoscopisch een circumferentieel duodenaal adenoom is vastgesteld dat brokkelig is en bloedt. 	 Ze heeft buikpijn. 	 neutral 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënt is een 56-jarige man met een voorgeschiedenis van toevallen die vanuit [**Ziekenhuis3 7022**] werd overgebracht met een letsel aan de wervelkolom, dat eerder op de dag was ontstaan. 	 De patiënt heeft een letsel aan de nekwervelkolom. 	 entailment 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënt is een 56-jarige man met een voorgeschiedenis van toevallen die vanuit [**Ziekenhuis3 7022**] werd overgebracht met een letsel aan de wervelkolom, dat eerder op de dag was ontstaan. 	 De patiënt heeft een normale cervicale wervelkolom. 	 contradiction 
GESCHIEDENIS VAN DE HUIDIGE ZIEKTE: De patiënt is een 56-jarige man met een voorgeschiedenis van toevallen die vanuit [**Ziekenhuis3 7022**] werd overgebracht met een letsel aan de wervelkolom, dat eerder op de dag was ontstaan. 	 De patiënt heeft een ruggenmergletsel. 	 neutral 
De patiënt had een eerste septum dat selectief in elk van zijn takken werd ingebracht en ethanolablatie werd uitgevoerd onder echocardiografische en fluoroscopische begeleiding. 	 De patiënt had een vasculaire scleroserende procedure uitgevoerd. 	 entailment 
De patiënt had een eerste septum dat selectief in elk van zijn takken werd ingebracht en ethanolablatie werd uitgevoerd onder echocardiografische en fluoroscopische begeleiding. 	 De patiënt heeft nog nooit een endovasculaire procedure gehad. 	 contradiction 
De patiënt had een eerste septum dat selectief in elk van zijn takken werd ingebracht en ethanolablatie werd uitgevoerd onder echocardiografische en fluoroscopische begeleiding. 	 De patient heeft atriale fibrillatie. 	 neutral 
Daarna ontwikkelde hij een infiltraat in de rechter bovenkwab. 	 Hij ontwikkelde een long infiltraat 	 entailment 
Daarna ontwikkelde hij een infiltraat in de rechter bovenkwab. 	 Hij had geen ademhalingsstoornissen of symptomen 	 contradiction 
Daarna ontwikkelde hij een infiltraat in de rechter bovenkwab. 	 Hij had longontsteking 	 neutral 
MEDISCHE GESCHIEDENIS:  Geen. 	 Geen medische aandoeningen gemeld 	 entailment 
MEDISCHE GESCHIEDENIS:  Geen. 	 Voorgeschiedenis van diabetes 	 contradiction 
MEDISCHE GESCHIEDENIS:  Geen. 	 Geen chirurgische voorgeschiedenis 	 neutral 
De patiënt werd aanvankelijk behandeld met Plavix en Lipitor. 	 De patiënt heeft hyperlipidemie 	 entailment 
De patiënt werd aanvankelijk behandeld met Plavix en Lipitor. 	 De patiënt heeft een normaal cholesterol 	 contradiction 
